#Gene	Initiation	Avg. norm. mRNA read count	Avg. norm. rib. read count	Fitness	No. of segments
YDR120C	3.00374E-005	2.28717E-007	1.52636E-007	153.444	30
YER126C	5.38361E-005	0.000000367	3.26513E-007	74.6461	15
YMR227C	0.000013139	0.000000053	3.0309E-008	-26.2966	5
YPR186C	9.14991E-006	6.45454E-008	0.00000002	3.90147	2
YNL121C	8.37765E-005	3.2537E-007	4.86402E-007	162.854	42
YGR194C	1.90368E-005	0.00000012	2.5823E-008	-7.84735	5
YDR486C	3.15504E-005	1.67507E-007	1.4912E-007	35.8017	8
YJL192C	2.49501E-005	7.76505E-007	0.000000406	60.8255	16
YHR117W	3.12929E-005	2.14448E-007	1.5634E-007	116.418	28
YDR087C	0.000028227	2.66735E-007	1.79061E-007	58.6467	15
YDR030C	0.000008667	3.89469E-008	8.64248E-009	6.88949	1
YOR014W	3.68822E-005	1.37136E-007	1.16327E-007	98.7507	24
YPL221W	1.85218E-005	1.40683E-007	7.36796E-008	40.9786	16
YPL274W	3.55302E-005	2.15401E-007	1.76263E-007	137.952	30
YBL047C	9.15496E-005	8.96548E-008	2.04217E-007	-21.0096	29
YNL293W	1.02364E-005	1.17295E-007	2.56894E-008	13.7986	5
YEL051W	3.38401E-005	1.18531E-006	9.11396E-007	70.2761	18
YPR135W	3.90525E-005	4.59211E-008	4.23551E-008	8.68881	9
YLL023C	0.000027626	3.35524E-007	1.93066E-007	77.9856	15
YOL004W	5.92323E-005	6.99043E-008	1.0872E-007	-124.052	22
YPL209C	0.000028227	5.75114E-008	2.24803E-008	7.68842	2
YGR014W	7.48043E-005	0.000000029	5.0933E-008	-2.74985	7
YGR041W	5.88244E-006	1.6038E-007	2.76532E-008	-2.04269	6
YDL036C	1.17494E-005	1.23335E-007	3.74921E-008	29.2402	5
YAR027W	1.65661E-005	4.8622E-007	1.61912E-007	71.3564	13
YMR032W	1.97343E-005	1.04242E-007	4.36139E-008	22.8029	8
YMR150C	1.65661E-005	2.70667E-007	9.47036E-008	36.6786	7
YBR029C	5.75851E-005	1.75094E-007	0.000000174	74.9031	17
YML059C	4.19799E-005	3.98188E-008	4.05467E-008	-44.9018	13
YKL116C	0.000008109	1.28877E-007	3.27458E-008	31.0644	6
YLR388W	9.87008E-005	7.97447E-006	1.17035E-005	13.8318	3
YGR238C	1.27956E-005	2.81689E-008	9.09198E-009	9.48594	2
YCR012W	0.000151426	0.000016379	3.41427E-005	130.285	32
YER035W	1.83367E-005	3.72346E-007	0.000000291	-9.77791	7
YDL084W	3.92242E-005	1.84057E-006	1.52458E-006	160.811	33
YDR201W	3.22157E-005	1.05681E-007	6.49454E-008	16.9712	3
YDR254W	2.07303E-005	4.86549E-008	1.9928E-008	10.2749	2
YPR128C	1.23289E-005	3.17119E-007	1.09576E-007	54.3659	13
YLR105C	1.42537E-005	1.1143E-007	2.83027E-008	15.2792	4
YNL045W	0.000027626	2.58199E-007	1.90159E-007	137.074	31
YHR191C	1.85218E-005	1.46583E-007	7.62497E-008	12.6647	3
YDR354W	2.43063E-005	3.32137E-007	1.5824E-007	92.5583	19
YDL098C	2.34371E-005	1.06193E-007	5.21432E-008	12.9612	3
YDR301W	2.74543E-005	3.6672E-008	3.05709E-008	-21.9387	12
YJL053W	1.40391E-005	2.79109E-007	0.000000085	24.7919	11
YHR042W	5.92323E-005	3.2589E-007	4.23459E-007	186.321	45
YGL006W	3.11212E-005	0.000000063	0.000000041	46.7711	14
YPL006W	2.93372E-005	7.01167E-008	5.03431E-008	6.00756	14
YCR083W	5.04103E-005	1.73722E-007	0.00000019	30.8136	6
YKR067W	4.02738E-005	7.5839E-008	6.71502E-008	16.8343	12
YOR151C	8.81767E-005	1.35663E-007	2.62111E-007	-19.6422	42
YML028W	9.45462E-005	0.000007031	1.18146E-005	65.4179	14
YLL001W	3.40547E-005	1.27143E-007	9.40559E-008	48.0579	19
YOR168W	6.92449E-005	0.000000499	5.90427E-007	241.846	57
YDR052C	1.65661E-005	0.000000106	3.97515E-008	5.92653	8
YNL189W	3.54067E-005	6.79101E-007	5.14744E-007	184.559	36
YMR043W	1.27956E-005	4.09614E-007	2.01874E-007	-32.0467	15
YPR173C	2.21789E-005	0.000000263	1.27891E-007	102.381	19
YML077W	2.78836E-005	2.75077E-007	1.70317E-007	20.1179	7
YER068W	1.88652E-005	2.38603E-007	1.17756E-007	44.5495	19
YER013W	1.74675E-005	3.52564E-008	1.98111E-008	-6.94728	6
YMR269W	3.21299E-005	0.000000089	4.44841E-008	16.6038	3
YMR092C	3.15504E-005	4.5719E-007	2.93652E-007	229.664	45
YDL021W	2.82055E-005	7.85597E-008	4.48088E-008	12.5958	3
YLR043C	0.000084989	2.84812E-006	3.75093E-006	36.7112	8
YJL008C	4.67827E-005	4.8762E-007	4.7662E-007	161.201	40
YDL018C	2.72397E-005	0.00000019	1.19734E-007	35.1052	7
YML060W	2.59963E-005	8.62912E-008	4.88848E-008	24.1374	5
YJR062C	1.33966E-005	1.47222E-007	5.12665E-008	18.4388	8
YGL067W	2.46926E-005	2.63948E-007	0.0000001	55.6613	15
YBR035C	0.000046611	5.61448E-007	5.42252E-007	87.1557	17
YGL241W	1.82642E-005	0.000000073	0.000000039	58.5531	13
YPR073C	4.54307E-005	4.08645E-007	3.87131E-007	38.084	11
YML035C	6.39754E-005	1.61492E-007	1.53284E-007	-35.4913	27
YGR270W	0.000036453	7.73033E-008	4.27877E-008	-111.522	16
YKL056C	8.09194E-005	1.17425E-005	1.32297E-005	49.4304	13
YGL008C	0.000278187	2.42389E-006	8.18607E-006	158.635	63
YFL025C	2.14814E-005	4.33416E-008	2.40967E-008	30.9706	7
YIL144W	1.77787E-005	6.5791E-008	3.34352E-008	16.1619	5
YNL307C	5.88889E-005	3.21515E-007	3.68528E-007	113.612	27
YBR156C	0.000016652	4.0061E-008	1.32933E-008	7.78573	2
YOR332W	5.20521E-005	2.55576E-006	2.37179E-006	69.1621	16
YJR057W	2.01294E-005	1.92682E-007	9.56784E-008	28.1164	6
YJL126W	1.33966E-005	1.37804E-007	4.35101E-008	16.8677	4
YGL011C	2.95223E-005	9.50187E-007	0.000000701	77.6015	17
YHR063C	3.07349E-005	3.56862E-007	2.44394E-007	130.846	27
YJL200C	3.57877E-005	0.000000196	1.28697E-007	97.6789	29
YGL211W	1.00647E-005	2.28593E-007	5.25676E-008	37.0727	6
YDR316W	2.58246E-005	6.92014E-008	3.62092E-008	19.4819	5
YKL041W	2.36517E-005	1.79494E-007	0.00000012	33.4556	6
YPL195W	4.19799E-005	0.00000014	9.65766E-008	79.8736	28
YNL107W	1.30532E-005	1.5694E-007	7.15761E-008	12.0867	4
YNR003C	2.43063E-005	2.71406E-007	1.18676E-007	79.0423	14
YCL044C	2.14814E-005	1.41079E-007	7.77613E-008	45.3584	10
YDR376W	1.46829E-005	1.55094E-007	0.000000058	30.2858	9
YAL059W	3.81377E-005	1.86344E-007	1.27909E-007	36.3835	7
YNL007C	0.000109895	3.25268E-007	8.4283E-007	57.7652	21
YNL127W	1.53482E-005	6.69306E-008	2.56601E-008	-12.5616	8
YJR137C	8.33902E-005	3.5201E-008	5.23451E-008	-15.1624	11
YKL014C	6.72892E-005	4.4158E-008	7.50919E-008	-46.9564	19
YLR237W	4.11107E-005	1.00668E-007	7.01698E-008	43.7824	10
YMR021C	4.75572E-006	1.23789E-007	3.38178E-008	-86.5697	4
YJR040W	2.21789E-005	1.02433E-007	5.02652E-008	54.4507	13
YPR103W	3.22157E-005	0.00000087	5.77213E-007	120.159	22
YDR378C	3.25967E-005	7.04702E-007	5.75205E-007	25.6915	5
YKL176C	0.000013139	8.83436E-008	0.000000018	-7.01589	4
YKR029C	1.59867E-005	7.27335E-008	2.82879E-008	16.8386	7
YGL191W	5.49735E-005	5.69713E-007	6.47912E-007	42.5211	9
YJL104W	3.04237E-005	3.06884E-007	3.07531E-007	17.2299	9
YPL019C	3.86662E-005	1.19531E-006	9.06173E-007	230.047	61
YFL041W	4.74802E-005	9.93513E-008	1.05225E-007	69.1206	14
YJL168C	1.69095E-005	1.10116E-007	4.48534E-008	35.3787	10
YNL323W	5.18804E-005	1.31096E-007	0.00000017	67.9393	14
YDL174C	2.88064E-005	1.77714E-007	9.89243E-008	75.6821	18
YER091C	0.000262967	1.21391E-007	6.10681E-007	73.5873	23
YJL062W	3.04237E-005	1.13199E-007	7.36104E-008	32.138	16
YNL325C	1.38674E-005	4.34504E-008	0.000000016	15.9986	5
YDL203C	1.42537E-005	1.0193E-007	3.12709E-008	-0.0878103	5
YPL020C	2.55295E-005	5.85238E-008	3.02949E-008	6.90717	5
YLR215C	0.000021696	1.13338E-007	4.94238E-008	20.0221	6
YMR287C	1.57291E-005	2.96611E-008	0.000000012	18.7198	3
YDR216W	2.41346E-005	1.39251E-008	1.03318E-008	4.54568	2
YKL130C	1.47687E-005	4.12681E-007	1.84437E-007	69.5509	15
YOR106W	7.76566E-006	1.38551E-007	4.88936E-008	-44.3004	4
YPL138C	7.27205E-006	1.23708E-007	2.8837E-008	3.45735	4
YNL021W	2.46926E-005	9.88347E-008	0.000000055	61.8206	13
YOR346W	1.38674E-005	3.33418E-008	9.76855E-009	7.10661	4
YFR001W	3.92242E-005	2.01067E-007	1.72073E-007	37.4183	9
YDR202C	1.24147E-005	1.54485E-007	4.9765E-008	21.586	6
YPL131W	6.52611E-005	1.46327E-005	1.37578E-005	91.2662	20
YIL115C	4.49639E-005	8.95736E-008	9.10634E-008	-35.0358	25
YGL233W	2.13097E-005	1.09134E-007	0.000000048	44.5995	13
YHR082C	5.40078E-005	4.81894E-008	4.8467E-008	-13.5607	10
YGR113W	1.17494E-005	1.95223E-007	6.31595E-008	-1.37158	6
YLR251W	1.14919E-005	2.08757E-007	3.13764E-008	7.48677	2
YLR319C	2.49501E-005	7.12368E-008	3.183E-008	12.6429	8
YGL186C	1.57291E-005	3.21928E-007	1.18914E-007	112.365	26
YMR235C	3.95354E-005	8.31475E-007	5.16772E-007	125.946	30
YOR341W	0.000123363	1.16404E-007	2.77751E-007	-304.924	48
YHR029C	2.50359E-005	2.88183E-007	1.60848E-007	60.056	15
YPL091W	5.53169E-005	5.98929E-007	5.31588E-007	144.675	34
YPR164W	4.12824E-005	2.97373E-008	2.29287E-008	-23.0813	8
YIL031W	1.90368E-005	2.5437E-008	1.07895E-008	-1.87159	3
YDR295C	1.11056E-005	0.000000097	0.000000036	21.3463	8
YAL033W	1.27956E-005	1.97777E-007	1.42255E-007	1.44308	6
YGR155W	0.00011286	1.2745E-006	0.000001926	99.1883	36
YMR300C	2.91655E-005	0.000000271	1.68365E-007	116.855	29
YFR049W	8.23037E-005	2.0236E-007	3.28317E-007	15.2998	5
YNR036C	2.46926E-005	5.42451E-007	0.000000458	46.5286	10
YDR108W	1.09339E-005	1.0117E-007	2.82334E-008	27.7428	7
YNR049C	1.88652E-005	1.94051E-007	8.05089E-008	22.5691	6
YDR192C	1.85218E-005	1.08534E-007	5.14276E-008	28.3708	7
YOL112W	2.84567E-006	1.32182E-007	1.58839E-008	4.83951	2
YML109W	1.63086E-005	5.97445E-008	1.95029E-008	17.4659	5
YLR342W	0.000162074	3.79851E-007	9.11826E-007	-82.6056	116
YLR443W	8.49534E-006	0.00000017	2.86602E-008	22.1675	4
YNL251C	2.72397E-005	3.66351E-007	1.84366E-007	37.4993	29
YJR102C	2.07303E-005	1.75469E-007	6.92803E-008	11.8681	3
YHR134W	9.36452E-006	1.60646E-007	2.34811E-008	12.106	2
YOR020C	8.69185E-005	1.64645E-006	2.66757E-006	29.3601	7
YBL028C	7.48043E-005	5.07632E-007	4.54792E-007	30.898	7
YBR164C	4.67827E-005	5.52522E-007	4.62882E-007	58.4188	13
YIL153W	7.52959E-006	1.7279E-007	5.74023E-008	-13.1858	9
YHR074W	3.22157E-005	2.43813E-007	0.000000203	155.723	36
YBR211C	6.92867E-006	1.7033E-007	4.48521E-008	-28.0814	4
YLR368W	3.27489E-006	1.1787E-007	1.65015E-008	-14.3482	4
YBR268W	2.95223E-005	2.45506E-007	2.43913E-007	24.2158	6
YFR030W	2.87581E-005	0.000000113	4.78737E-008	44.7415	17
YKL089W	1.57291E-005	5.76247E-008	2.02613E-008	18.2788	3
YBR131W	9.72132E-006	0.000000052	1.76913E-008	-14.2132	3
YAL011W	1.06227E-005	0.000000043	1.36775E-008	18.696	3
YBR036C	3.45698E-005	3.82624E-007	3.38944E-007	149.772	31
YBR244W	4.49639E-005	5.03629E-007	4.60649E-007	55.6451	11
YPL053C	2.56154E-005	3.23384E-007	1.83511E-007	143.037	28
YGL243W	3.85435E-006	1.31448E-007	1.34754E-008	6.52193	1
YOR028C	0.00001633	2.71468E-007	1.04662E-007	-62.0556	5
YBR179C	2.13097E-005	7.43174E-008	3.94312E-008	30.2591	10
YPL155C	1.57291E-005	0.000000103	3.49003E-008	10.5388	7
YJR097W	2.68333E-005	9.07994E-008	3.92753E-008	8.32207	2
YLR351C	2.58729E-005	4.78623E-007	2.58434E-007	95.0948	17
YOL094C	2.38234E-005	2.54164E-007	1.01056E-007	14.464	10
YAL002W	0.000018165	6.22828E-008	1.56326E-008	-15.84	6
YJL095W	2.78836E-005	2.449E-008	1.27436E-008	-19.3521	4
YIL079C	0.000018165	1.08457E-007	4.65777E-008	30.7053	6
YGR142W	4.16687E-005	6.81152E-008	5.6679E-008	28.3228	6
YPL100W	1.30532E-005	1.89682E-007	4.97739E-008	-0.417699	8
YOL149W	3.42264E-005	0.000000189	1.6045E-007	45.6441	10
YGL202W	5.42224E-005	9.01232E-007	1.08693E-006	145.313	35
YPL106C	0.000226038	8.56127E-007	2.76625E-006	174.543	55
YOR046C	3.31761E-005	5.27077E-007	3.78784E-007	177.742	36
YNL141W	2.74543E-005	3.42196E-007	1.72483E-007	100.053	18
YKR090W	2.38234E-005	9.82531E-008	5.35224E-008	20.8221	12
YMR220W	2.43063E-005	3.12692E-007	1.34932E-007	80.7927	20
YKL032C	1.50048E-005	0.000000167	1.55781E-007	-42.8361	25
YOR001W	1.70812E-005	1.94123E-007	9.22452E-008	90.0958	25
YDR121W	2.79694E-005	1.86693E-007	0.00000016	25.9212	6
YER125W	0.000238541	0.000000055	2.90203E-007	4.60943	10
YOR308C	1.57291E-005	3.59348E-008	2.46519E-008	-9.14774	3
YPL211W	4.91247E-005	4.90363E-007	4.63117E-007	47.6693	11
YDL077C	1.69095E-005	9.21184E-008	2.96248E-008	7.71471	11
YOR222W	1.00647E-005	4.2293E-007	0.000000089	58.6368	9
YOL061W	3.25967E-005	0.000000411	3.31886E-007	116.608	35
YGL104C	1.05905E-005	9.37539E-008	2.07487E-008	12.1798	4
YLR015W	2.13097E-005	6.86002E-008	3.28488E-008	18.4485	4
YPL259C	1.56057E-005	2.62614E-007	8.71803E-008	44.9994	14
YOL100W	1.50263E-005	4.56579E-008	1.43859E-008	-14.813	5
YPL135W	1.79504E-005	1.38405E-006	8.3036E-007	9.01033	11
YLR008C	2.85489E-005	4.93284E-007	2.92757E-007	62.8491	12
YMR219W	3.21299E-005	2.72293E-008	2.87554E-008	-15.6579	10
YLR055C	1.77787E-005	8.05456E-008	4.34804E-008	29.5376	7
YDR031W	4.01879E-005	1.20395E-007	9.83646E-008	13.4616	3
YOR198C	7.93581E-005	7.55077E-007	9.91407E-007	117.8	32
YOL005C	0.000047169	5.1979E-007	5.9271E-007	32.308	7
YOR213C	9.14991E-006	1.91682E-007	4.80975E-008	11.5745	4
YEL050C	2.50359E-005	2.19497E-007	1.224E-007	77.2188	15
YHR036W	1.24147E-005	1.14785E-007	3.21567E-008	19.5073	4
YOL072W	7.76566E-006	1.63761E-007	3.04399E-008	19.7744	4
YLR450W	3.38401E-005	0.000000083	7.10615E-008	33.5058	14
YLR442C	0.000012624	6.50869E-008	2.10625E-008	22.9299	7
YPL202C	1.20928E-005	2.54746E-007	7.15451E-008	-0.0206532	10
YDR191W	1.52623E-005	1.50393E-007	4.07632E-008	-23.3287	4
YIL095W	2.01294E-005	6.38916E-008	2.67616E-008	-6.89915	7
YIL017C	1.27956E-005	0.000000075	0.000000015	-17.3184	4
YNL268W	0.0322202	0.000000376	2.55075E-007	-4594.56	42
YHR147C	4.30766E-005	2.23273E-007	0.000000173	31.7579	11
YOL123W	4.25379E-005	3.14437E-007	3.59477E-007	136.505	36
YML116W	8.49534E-006	2.68213E-007	5.0428E-008	53.1073	10
YNL084C	2.59963E-005	3.63811E-007	0.000000223	80.7857	23
YGL066W	2.55295E-005	4.53822E-008	3.56104E-008	8.53293	6
YML114C	7.27205E-006	1.62189E-007	3.59495E-008	26.0075	7
YHR086W	3.11212E-005	9.41082E-008	5.68131E-008	7.28013	8
YPR070W	9.46378E-006	1.98676E-007	3.73938E-008	37.6995	8
YOR386W	2.14814E-005	8.06092E-008	0.000000032	13.3169	5
YCL011C	1.40391E-005	6.63663E-007	2.31336E-007	155.047	32
YJR075W	3.72685E-005	3.67849E-007	2.98846E-007	115.01	27
YHR207C	1.79504E-005	1.37853E-007	5.47111E-008	43.8493	8
YPR198W	1.47687E-005	1.88562E-007	6.80848E-008	51.7462	13
YHL038C	0.00001633	9.08816E-008	3.27836E-008	30.0305	6
YDR425W	2.30078E-005	7.33904E-008	3.07009E-008	13.9909	6
YNL220W	5.43941E-005	4.59468E-007	4.81056E-007	118.063	31
YGL169W	2.41346E-005	0.000000185	5.95426E-008	-9.57042	8
YGR060W	8.00825E-005	1.38573E-006	1.95162E-006	111.555	23
YCL064C	0.00001633	2.66757E-006	1.16206E-006	87.4604	28
YML076C	0.000008109	7.08245E-008	0.000000012	6.83684	4
YKR060W	2.74543E-005	1.48344E-007	0.000000076	28.1272	7
YML029W	1.57291E-005	1.25139E-007	3.95216E-008	23.2606	11
YDR151C	1.27956E-005	2.43659E-007	1.1143E-007	-3.15168	10
YGL219C	1.97343E-005	1.72938E-007	7.18399E-008	30.0489	10
YLR127C	1.83367E-005	6.52334E-008	1.23171E-008	-45.2867	4
YDR454C	5.18804E-005	1.64335E-006	1.25544E-006	54.4749	13
YCR048W	1.50263E-005	2.02438E-007	0.000000077	92.2001	17
YCR033W	1.44254E-005	6.6668E-008	0.000000021	-32.1504	7
YER069W	2.14814E-005	1.23399E-007	4.71888E-008	48.6967	14
YMR091C	2.21789E-005	2.88397E-007	0.000000159	114.436	24
YER012W	5.18804E-005	6.67197E-007	5.93103E-007	73.0285	14
YDR104C	6.92867E-006	2.33879E-008	7.14745E-009	-30.3186	2
YGR105W	6.56045E-005	5.52217E-007	7.74935E-007	25.1276	6
YBL067C	0.000021696	7.25333E-008	4.51917E-008	-7.742	9
YHR098C	4.12824E-005	0.000000169	1.68675E-007	130.097	36
YDL019C	4.14971E-005	5.15691E-008	5.48081E-008	-40.0143	12
YDL135C	2.59963E-005	3.9661E-007	2.98431E-007	60.1463	15
YPR023C	1.42537E-005	3.34275E-007	1.00074E-007	49.5396	14
YDR003W	1.13202E-005	0.000000248	9.83637E-008	-6.73174	6
YLR144C	0.00001633	1.42427E-007	4.90707E-008	58.5202	14
YEL072W	3.85435E-006	1.45519E-007	1.62048E-008	7.10594	1
YPR058W	2.07303E-005	2.20239E-007	9.92917E-008	59.4446	11
YLR068W	4.69973E-005	0.000000111	8.9452E-008	14.7557	3
YDR168W	0.000042723	0.000000296	2.45833E-007	143.297	30
YML061C	1.33966E-005	8.42339E-008	2.66948E-008	-6.63153	8
YJL186W	3.86662E-005	0.000000244	2.16151E-007	139.445	31
YER023W	4.05313E-005	1.18661E-006	1.14686E-006	101.788	21
YPL268W	1.20713E-005	8.86061E-008	1.19472E-008	4.58242	3
YER132C	1.42537E-005	3.49398E-008	9.59001E-009	-26.5587	5
YDR399W	3.31976E-005	7.4713E-007	4.75174E-007	70.3258	16
YML016C	1.11056E-005	2.03902E-007	4.75061E-008	37.1467	10
YGR077C	7.18621E-006	0.000000195	0.000000033	17.2256	6
YKR084C	0.000022922	0.00000018	1.10615E-007	121.242	27
YDL017W	1.52623E-005	8.48867E-008	2.66284E-008	10.0071	4
YDR512C	2.89509E-005	1.32153E-007	1.31331E-007	24.2974	5
YDR113C	1.74675E-005	1.4294E-007	5.71861E-008	14.9902	6
YLL031C	2.63397E-005	1.31651E-007	6.90701E-008	99.6201	26
YLR033W	1.50048E-005	0.000000177	8.18998E-008	10.5697	13
YLR088W	3.63671E-005	1.64761E-007	1.07705E-007	89.1199	21
YBR021W	3.21299E-005	4.83382E-008	2.85128E-008	28.2534	6
YGR255C	3.24733E-005	1.53427E-007	8.74771E-008	46.2609	13
YKL049C	0.000021696	1.12938E-007	0.000000085	5.3608	4
YGL110C	1.27956E-005	1.26606E-007	4.05568E-008	21.8244	8
YDL051W	3.70968E-005	6.43698E-007	5.00828E-007	100.38	20
YBL102W	1.97343E-005	4.14138E-007	2.09064E-007	74.2008	15
YPL237W	3.25967E-005	0.000001478	9.07063E-007	109.067	20
YGR282C	4.98222E-005	4.79325E-006	4.39589E-006	132.419	25
YEL043W	1.27956E-005	1.16179E-007	3.905E-008	10.3302	13
YMR077C	1.77787E-005	1.17264E-007	5.39396E-008	14.5241	3
YPL183C	1.65661E-005	0.000000186	6.68363E-008	26.5576	22
YDR166C	2.95223E-005	7.77718E-008	3.89425E-008	-17.5378	11
YPR118W	2.58729E-005	5.1891E-007	0.000000249	183.038	32
YGR204W	0.00010736	3.30584E-007	6.0366E-007	126.402	65
YGL248W	0.000008667	0.000000177	3.61067E-008	15.588	4
YJL050W	7.87787E-005	1.11213E-007	1.5217E-007	68.3695	26
YDL192W	0.000102702	3.71331E-006	0.00000402	28.1198	12
YGR112W	1.42537E-005	1.11293E-007	4.01602E-008	12.1194	4
YDR146C	2.72397E-005	9.45968E-008	6.95642E-008	16.0431	13
YKR063C	1.69095E-005	8.6748E-008	2.2688E-008	10.1566	3
YBR038W	0.000057671	9.28902E-008	0.000000107	32.4593	22
YJR016C	6.38038E-005	7.43849E-007	0.000000894	178.068	41
YDL202W	4.94359E-005	1.81555E-007	1.56745E-007	7.61182	10
YDL100C	5.40078E-005	9.12341E-007	8.40377E-007	126.952	26
YFL008W	4.47063E-005	3.9256E-008	0.000000044	-2.71287	10
YDR337W	2.91655E-005	1.74854E-007	0.000000122	34.5635	9
YOR251C	3.42264E-005	0.000000292	1.86741E-007	73.115	15
YJL061W	2.04727E-005	1.75089E-007	8.2111E-008	54.5363	19
YBR080C	3.58735E-005	2.56068E-007	1.87203E-007	178.615	41
YMR284W	1.70812E-005	7.68495E-008	2.505E-008	10.6505	5
YDR217C	3.22157E-005	1.58445E-008	1.48316E-008	4.05622	4
YDR441C	2.74543E-005	2.3369E-007	1.35237E-007	14.0785	7
YPL094C	2.27369E-005	6.32106E-007	3.33812E-007	100.269	18
YNL020C	9.36452E-006	1.12758E-007	2.34522E-008	6.24726	4
YPL023C	1.77787E-005	2.32058E-007	9.13395E-008	91.0798	20
YER090W	3.12929E-005	5.64446E-007	4.12125E-007	181.858	36
YMR246W	3.67105E-005	6.66436E-007	0.000000521	207.242	55
YMR035W	1.33966E-005	1.93834E-007	6.44253E-008	17.9104	3
YPR161C	1.99577E-005	1.55769E-007	6.69259E-008	49.9569	14
YOR291W	2.32654E-005	5.8149E-008	3.20832E-008	51.7993	14
YKL117W	6.83757E-005	1.59219E-006	1.81874E-006	67.2824	15
YPR018W	0.000021696	7.55505E-008	3.94265E-008	-2.34342	7
YDR159W	1.69095E-005	4.30518E-008	1.47664E-008	8.35847	6
YMR059W	2.07088E-005	2.59501E-007	1.0766E-007	7.76652	5
YDR062W	3.18938E-005	4.68593E-007	3.01299E-007	179.875	40
YOR071C	2.18677E-005	7.0662E-008	2.93317E-008	13.0886	5
YLR435W	6.52826E-005	1.49133E-007	1.73726E-007	26.3634	6
YOR165W	4.96076E-005	1.51107E-007	1.42651E-007	109.675	28
YHR190W	5.22667E-005	0.000000572	5.27391E-007	115.95	33
YKR002W	1.69095E-005	0.000000195	7.79462E-008	60.5379	15
YBR003W	2.01294E-005	2.26114E-007	9.7117E-008	70.4728	14
YDR200C	2.07088E-005	5.01937E-008	2.53329E-008	14.4886	4
YPR105C	1.59867E-005	1.0289E-007	3.9197E-008	11.0847	10
YDR279W	1.82642E-005	1.67866E-007	5.89075E-008	32.253	7
YGR260W	2.18677E-005	6.4988E-007	2.67545E-007	203.811	36
YDL099W	3.11212E-005	1.81346E-007	1.1146E-007	64.8454	14
YPL005W	8.28073E-006	5.69123E-008	8.82421E-009	11.3646	2
YCR030C	2.82055E-005	1.47441E-007	1.02422E-007	103.232	28
YBR130C	2.65758E-005	2.57943E-007	1.02266E-007	61.6332	16
YLR274W	1.50048E-005	1.96124E-007	6.13537E-008	55.7125	15
YBR247C	2.62539E-005	2.35798E-007	0.000000147	126.915	26
YDR463W	2.98657E-005	3.08288E-007	1.17406E-007	-6.4615	17
YDR235W	0.000008109	1.82323E-007	0.000000036	-5.08632	5
YLR369W	1.69095E-005	1.10767E-007	4.42148E-008	41.1121	8
YIL154C	1.94231E-005	2.41083E-007	9.71672E-008	69.4796	13
YPL149W	2.84567E-006	1.84706E-007	1.66097E-008	7.70252	1
YOR007C	5.62773E-005	1.17445E-006	1.34983E-006	125.737	27
YBR165W	1.74353E-005	2.37644E-007	6.54931E-008	1.2785	5
YDL220C	1.30532E-005	3.55883E-008	1.10648E-008	11.2904	4
YGR170W	1.97343E-005	5.73705E-008	1.5734E-008	-8.49162	5
YHR075C	9.46378E-006	1.04876E-007	1.8485E-008	13.1822	2
YKL004W	2.91655E-005	3.36087E-007	2.39839E-007	90.7918	27
YOL148C	9.46378E-006	9.558E-008	3.28204E-008	26.8394	7
YFR031C	0.000012624	4.54178E-008	2.0617E-008	-38.9014	6
YPL154C	6.90732E-005	1.42568E-006	1.51066E-006	87.4408	30
YHR019C	4.54307E-005	1.48387E-006	1.52738E-006	174.23	38
YOR367W	2.10522E-005	2.75135E-007	1.30266E-007	20.5684	7
YML055W	3.25967E-005	2.9445E-007	1.79614E-007	47.3139	9
YDR281C	4.30981E-005	1.28683E-007	1.40812E-007	9.42457	2
YJR110W	1.83367E-005	0.000000045	2.26742E-008	10.8132	4
YIL149C	3.63671E-005	0.000000017	2.47892E-008	1.56436	4
YPL101W	1.83367E-005	1.72307E-007	6.96765E-008	64.1022	12
YLR258W	0.000012624	4.38093E-007	1.21851E-007	54.2972	29
YNR015W	1.94231E-005	1.66231E-007	7.67458E-008	21.687	7
YIL078W	9.11633E-005	8.95373E-007	1.35106E-006	212.626	59
YLR350W	1.18353E-005	5.34136E-007	2.73583E-007	19.97	13
YPL243W	2.36517E-005	4.13892E-007	2.19157E-007	132.632	37
YGL009C	9.70805E-005	1.19705E-007	2.57293E-007	51.8659	23
YGR163W	2.13097E-005	2.24427E-007	8.85019E-008	27.4361	9
YJL127C	1.46829E-005	6.38691E-008	2.34421E-008	8.5286	4
YKL022C	1.42537E-005	7.41577E-008	2.72329E-008	12.3507	6
YEL040W	3.84086E-005	7.8094E-007	5.4183E-007	137.856	33
YNL164C	1.52623E-005	1.49389E-007	0.00000005	5.74806	5
YBL092W	0.000122403	1.45173E-005	1.99055E-005	34.4849	9
YDR368W	5.35249E-005	6.4044E-007	5.31397E-007	92.6206	22
YBR101C	2.25652E-005	4.15268E-007	0.000000251	44.2142	16
YGR229C	1.90368E-005	2.81747E-007	2.61891E-007	-109.81	28
YMR299C	6.46189E-006	1.49858E-007	2.22645E-008	11.7123	2
YJR050W	1.44254E-005	1.73103E-007	5.24841E-008	16.9805	4
YDR375C	2.10522E-005	0.000000092	0.00000004	33.4567	7
YKL140W	2.04727E-005	1.95559E-007	1.04135E-007	-9.1377	17
YBR149W	3.11212E-005	9.09284E-007	5.85212E-007	127.76	26
YGL210W	3.31976E-005	2.32232E-007	1.54855E-007	46.2316	10
